Month of death,Year 1998,Year 2015
January,"20,578","26,946"
February,"20,015","22,453"
March,"21,144","23,758"
April,"17,706","22,073"
May,"17,673","21,827"
 June,"16,565","19,811"
 July,"16,866","20,451"
August,"16,763","20,323"
September,"16,318","20,189"
October,"17,730","22,284"
 November,"17,672","21,415"
December,"19,061","22,803"
